qid,eval_set,difficulty,question,execution_recall,exact_match,latency_s,passed
q_medium_012,main,medium,energy above hullが0.01以下のL1₂型化合物を表示して。,1.0000,0,36.4,1
q_medium_013,main,medium,Ti含有L1₂型化合物の格子定数と形成エネルギーを表示して。,1.0000,1,30.8,1
q_medium_014,main,medium,L1₂化合物の格子定数を小さい順にソートして。,1.0000,0,24.8,1
q_medium_015,main,medium,化学系Al-Niに属するL1₂化合物を抽出して。,1.0000,0,21.8,1
q_medium_016,main,medium,安定で格子定数が3.6Å未満のL1₂化合物を出して。,1.0000,0,26.6,1
q_medium_017,main,medium,Nbを含むL1₂型化合物の安定性情報を出して。,1.0000,0,35.1,1
q_medium_018,main,medium,Scを含むL1₂型化合物を格子定数と共に表示して。,1.0000,1,24.5,1
q_medium_019,main,medium,L1₂型化合物のうちis_stableがtrueのものを出して。,1.0000,1,25.5,1
q_medium_020,main,medium,Ni-Al系以外のL1₂型化合物を一覧にして。,1.0000,1,22.6,1
q_medium_021,main,medium,Aサイト元素ごとのL1₂型化合物数を集計して。,1.0000,0,24.3,1
q_medium_022,main,medium,形成エネルギーが最も低いL1₂型化合物TOP5を出して。,1.0000,1,21.2,1
q_medium_023,main,medium,格子定数が4.0Å以上のL1₂化合物を出して。,1.0000,1,21.0,1
q_medium_024,main,medium,Pdを含むL1₂型化合物を形成エネルギー順に出して。,1.0000,0,28.6,1
q_medium_025,main,medium,Cu含有のL1₂型化合物を安定性で分類して。,1.0000,0,32.8,1
q_medium_026,main,medium,Bサイト元素ごとの平均形成エネルギーを出して。,0.0000,0,29.9,0
q_medium_027,main,medium,格子体積が12Å³/atom以下のL1₂化合物を出して。,1.0000,1,25.5,1
q_medium_028,main,medium,Ir含有L1₂型化合物の一覧を出して。,1.0000,0,24.8,1
q_medium_029,main,medium,2元素系のL1₂型化合物をchemical_systemで分類して。,1.0000,0,21.4,1
q_medium_030,main,medium,安定なL1₂型化合物のうち格子定数が大きい順に並べて。,1.0000,0,31.0,1
q_hard_001,main,hard,Ni基超合金のγ'相候補として有望な、安定または準安定なL1₂型化合物を抽出して。,0.0265,0,39.4,0
q_hard_002,main,hard,L1₂型化合物において、Aサイト元素とBサイト元素の組み合わせが形成エネルギーに与える傾向を調べて。,1.0000,0,31.5,1
q_hard_003,main,hard,L1₂構造を持つ化合物のうち、格子定数aがNi₃Al（3.57Å）との差0.1Å以内の候補を、形成エネルギーが低い順に抽出して。,1.0000,0,25.5,1
q_hard_004,main,hard,安定なL1₂型化合物のバルクモジュラスを高い順に表示して。,1.0000,0,27.5,1
q_hard_005,main,hard,NiまたはCoを含む安定なL1₂化合物を形成エネルギー順に並べて。,1.0000,0,24.3,1
q_hard_006,main,hard,Aサイト元素別にL1₂型化合物の平均格子定数を集計して。,1.0000,0,23.7,1
q_hard_007,main,hard,形成エネルギーが-0.3以下で格子定数が3.5〜3.7ÅのL1₂化合物を抽出して。,1.0000,0,23.4,1
q_hard_008,main,hard,L1₂型化合物でバルクモジュラスが180GPa以上のものを抽出して。,1.0000,1,30.0,1
q_hard_009,main,hard,Co基L1₂化合物のうち、Ni₃Alに近い格子定数のものを安定性順に出して。,1.0000,0,45.2,1
q_hard_010,main,hard,Bサイト元素がAlまたはTiのL1₂化合物を形成エネルギー順に出して。,1.0000,0,31.6,1
q_hard_011,main,hard,L1₂化合物のせん断弾性率を表示して。,1.0000,0,27.5,1
q_hard_012,main,hard,安定で形成エネルギーが最も低いL1₂化合物のトップ10を出して。,1.0000,0,29.4,1
q_hard_013,main,hard,Ni含有L1₂化合物のバルクモジュラスと形成エネルギーの関係を出して。,1.0000,1,33.2,1
q_hard_014,main,hard,安定なL1₂化合物をAサイト元素でグループ化し、各グループの平均形成エネルギーと件数を出して。,0.0000,0,37.4,0
q_hard_015,main,hard,格子定数aが3.55Å付近（|a−3.55|≤0.1Å）でバルクモジュラスの高いL1₂化合物を探して。,1.0000,0,29.1,1
q_hard_016,main,hard,L1₂型化合物の格子定数と形成エネルギーの相関を見たい。,1.0000,1,22.7,1
q_hard_017,main,hard,Co3TiとNi3Alの格子定数差を計算して。,1.0000,0,32.9,1
q_hard_018,main,hard,Al系L1₂化合物のうち安定なものとそうでないものの数を出して。,0.0000,0,36.8,0
q_hard_019,main,hard,準安定L1₂化合物をenergy above hull順にランキングして。,1.0000,0,34.2,1
q_hard_020,main,hard,Bサイト元素ごとの安定L1₂化合物数を集計して。,1.0000,0,25.5,1
q_hard_021,main,hard,DFT計算で得られたL1₂化合物の物性一覧を出して。,1.0000,0,31.4,1
q_hard_022,main,hard,PBE汎関数で計算されたL1₂化合物のバルクモジュラスを表示して。,1.0000,1,27.9,1
q_hard_023,main,hard,L1₂化合物の格子ミスマッチ（Ni3Alとの差）を計算して小さい順に表示して。,1.0000,0,23.2,1
q_hard_024,main,hard,Fe含有L1₂化合物の安定性と弾性特性を同時に表示して。,0.0000,0,35.1,0
q_hard_025,main,hard,安定なL1₂化合物でバルクモジュラスが160GPa以上のものを抽出して。,1.0000,0,30.5,1
q_hard_026,main,hard,L1₂化合物で安定性と格子定数の両面でNi3Alに近い候補を出して。,1.0000,0,34.2,1
q_hard_027,main,hard,Aサイト元素がNiまたはCoで、Bサイト元素がAlまたはTiのL1₂化合物を出して。,1.0000,1,31.7,1
q_hard_028,main,hard,L1₂型化合物の体積あたり原子数と格子定数の関係を出して。,1.0000,1,20.0,1
q_hard_029,main,hard,L1₂化合物でenergy above hullが0で形成エネルギーが-0.4以下のものを出して。,1.0000,0,31.2,1
q_hard_030,main,hard,遷移金属を含むL1₂型化合物のうち安定なものを出して。,1.0000,0,51.4,1
q_vhard_001,main,very_hard,L1₂型金属間化合物のうち、energy above hullが0.05 eV/atom以下でバルクモジュラスが計算されているものを、析出強化相候補としてenergy above hull昇順・Ni₃Al（3.57Å）との格子定数差昇順で抽出して。,1.0000,0,34.2,1
q_vhard_002,main,very_hard,Ni₃Al代替またはCo基γ'相候補として、energy above hullが0.05 eV/atom以下でバルクモジュラスが計算されているL1₂型金属間化合物を、形成エネルギー昇順・Ni₃Al（3.57Å）との格子定数差昇順で探索して。,1.0000,0,47.9,1
q_vhard_003,main,very_hard,γ'相候補のランキングを重み付きスコア (1 − E_hull/0.05)×0.4 + (1 − |a − 3.57|/0.3)×0.3 + (B/300)×0.3（E_hull ≤ 0.05 eV/atomのL1₂のみ対象、a: 格子定数Å、B: 体積弾性率GPa）で出して。,0.4180,0,40.0,0
q_vhard_004,main,very_hard,NiまたはCo含有で安定かつバルクモジュラスが高いL1₂化合物トップ10を出して。,1.0000,0,31.6,1
q_vhard_005,main,very_hard,L1₂型化合物の元素組み合わせと安定性の関係をAサイト・Bサイト別に集計して（総数・安定件数・平均形成エネルギー）、材料設計の指針を得たい。,1.0000,0,41.4,1
q_vhard_006,main,very_hard,Ni3Alの格子定数（3.57 Å）に近く、バルクモジュラスが高く、安定（is_stable）なL1₂候補を総合スコア (1 − E_hull/0.05)×0.35 + (1 − |a − 3.57|/0.3)×0.35 + (B/300)×0.30 でランキングして。,1.0000,0,35.5,1
q_vhard_007,main,very_hard,"析出強化に適したL1₂化合物（E_hull ≤ 0.05 eV/atom）をスコア (1 − E_hull/0.05)×0.35 + (1 − min(|a − 3.57|, 0.3)/0.3)×0.35 + (min(B, 300)/300)×0.30 で評価して上位候補を出して。",0.4180,0,50.1,0
q_vhard_008,main,very_hard,Co基超合金のγ'相候補として、Co含有で安定なL1₂化合物をNi3Alとの比較で評価して。,1.0000,0,29.3,1
q_vhard_009,main,very_hard,Co3Tiの生成エンタルピーを純物質基準エネルギーから計算して、形成エネルギーと加重純物質基準エネルギーも併記して。,1.0000,0,34.1,1
q_vhard_010,main,very_hard,準安定域まで（energy_above_hull ≤ 0.05 eV/atom）のL1₂型化合物について、安定性マップ用データ（formation energy・energy above hull・弾性率）を出力して。,1.0000,0,36.9,1
q_vhard_011,main,very_hard,L1₂型化合物を凸包からの距離（energy above hull）が小さい順にランキングし、安定性クラス（stable/metastable/unstable）を付けて出して。,1.0000,0,26.5,1
q_vhard_012,main,very_hard,"Ni基超合金のγ'相代替候補として、Ni-Al系以外の安定（is_stable）なL1₂化合物を設計スコア (1 − min(E_hull, 0.05)/0.05)×0.30 + (1 − min(|a − 3.57|, 0.3)/0.3)×0.25 + (min(B, 300)/300)×0.25 + (形成エネルギー < −0.3 eV/atomなら0.20、それ以外は0.10) でランキングして。",0.0000,0,56.8,0
q_vhard_013,main,very_hard,安定（energy_above_hull ≤ 0.001 eV/atom）かつ形成エネルギー ≤ −0.3 eV/atomかつ体積弾性率 ≥ 150 GPaのL1₂型化合物について、体積弾性率と格子定数を散布図データとして出力して。,1.0000,0,35.1,1
q_vhard_014,main,very_hard,元素周期の観点から、3d遷移金属（第4周期dブロック）と4d/5d遷移金属（第5・6周期dブロック）をAサイトに持つL1₂化合物の安定性傾向（件数・平均energy above hull・stable割合・平均形成エネルギー）を比較して。,1.0000,0,53.2,1
q_vhard_015,main,very_hard,L1₂化合物のうち形成エネルギーがNi3Alより低く、バルクモジュラスがNi3Alより高い候補を出して。,1.0000,0,46.4,1
q_vhard_016,main,very_hard,安定なL1₂化合物の純元素基底状態基準に再基準化した生成エネルギーを計算して、-0.3 eV/atom未満のものを格子定数・形成エネルギー・加重純元素基準エネルギーつきで出して。,1.0000,0,30.8,1
q_vhard_017,main,very_hard,"全L1₂化合物について、複合スコア (1 − min(E_hull, 0.05)/0.05)×0.30 + (1 − min(|a − 3.57|, 0.3)/0.3)×0.30 + (min(B, 300)/300)×0.20 + (−ΔE_f/1.0)×0.20（ΔE_f: 形成エネルギー eV/atom）を計算して上位20件をランキングして。",0.8500,0,75.6,1
q_vhard_018,main,very_hard,安定なL1₂化合物のA-site元素ごとに純元素基底状態基準に再基準化した生成エネルギーの平均を、化合物数・最小値とともに計算して。,1.0000,0,40.3,1
q_vhard_019,main,very_hard,安定なL1₂化合物の純元素基底状態基準に再基準化した生成エネルギーを計算して、Ni含有のもので再基準化生成エネルギーが低い5件を出して。,1.0000,0,48.8,1
q_vhard_020,main,very_hard,L1₂化合物の形成エネルギーが加重純物質基準より0.1 eV/atom以上低い化合物を、形成エネルギー・加重純物質基準・その差とともに出して。,1.0000,0,27.9,1
