qid,question,eval_set,category,category_ja,difficulty_original,difficulty_cte_folded,is_cte,tables,n_tables,n_joins,has_aggregation,has_subquery,sql_features,gold_sql_available,expected_result_available
q_easy_001,L1₂構造を持つ化合物を一覧にして。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_easy_002,Niを含むL1₂型金属間化合物を抽出して。,main,structure,構造,easy,easy,False,composition;material_entry;structure,3,2,False,False,,True,True
q_easy_003,A₃B型組成を持つ化合物を表示して。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_easy_004,L12型化合物の格子定数を一覧にして。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_easy_005,Coを含む化合物を表示して。,main,composition,組成,easy,easy,False,composition;material_entry,2,1,False,False,,True,True
q_easy_006,cubic構造の化合物を一覧にして。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_easy_007,L1₂型化合物のリストを出して。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_easy_008,Alを含む化合物を抽出して。,main,composition,組成,easy,easy,False,composition;material_entry,2,1,False,False,,True,True
q_easy_009,空間群番号221の化合物を表示して。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_easy_010,Tiを含むL1₂型化合物を一覧にして。,main,structure,構造,easy,easy,False,composition;material_entry;structure,3,2,False,False,,True,True
q_easy_011,全化合物のformula一覧を出して。,main,composition,組成,easy,easy,False,material_entry,1,0,False,False,,True,True
q_easy_012,L12型化合物の数を教えて。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,True,False,aggregation,True,True
q_easy_013,Ptを含む化合物を表示して。,main,composition,組成,easy,easy,False,composition;material_entry,2,1,False,False,,True,True
q_easy_014,NiとAlの両方を含む化合物を抽出して。,main,composition,組成,easy,easy,False,composition;material_entry,2,2,False,False,,True,True
q_easy_015,Gaを含むL1₂型化合物を表示して。,main,structure,構造,easy,easy,False,composition;material_entry;structure,3,2,False,False,,True,True
q_easy_016,Feを含む化合物を一覧にして。,main,composition,組成,easy,easy,False,composition;material_entry,2,1,False,False,,True,True
q_easy_017,Aサイトの元素を一覧にして。,main,composition,組成,easy,easy,False,composition,1,0,False,False,distinct,True,True
q_easy_018,化合物の元素系を表示して。,main,composition,組成,easy,easy,False,material_entry,1,0,False,False,distinct,True,True
q_easy_019,L1₂型でcubic構造の化合物を出して。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_easy_020,Wを含むL1₂型化合物を表示して。,main,structure,構造,easy,easy,False,composition;material_entry;structure,3,2,False,False,,True,True
q_expert_001,データベースに登録されている化合物の総数を教えて。,main,composition,組成,easy,easy,False,material_entry,1,0,True,False,aggregation,True,True
q_expert_002,BCC_B2構造を持つ化合物を全て表示して。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_expert_003,3元素以上で構成される化合物はあるか？,main,composition,組成,easy,easy,False,material_entry,1,0,False,False,,True,True
q_expert_004,化学式にFeが含まれる化合物を一覧にして。,main,composition,組成,easy,easy,False,composition;material_entry,2,1,False,False,,True,True
q_expert_005,NaCl型構造の化合物は何件あるか。,main,structure,構造,easy,easy,False,structure,1,0,True,False,aggregation;distinct,True,True
q_expert_006,Ni3Alのエントリを表示して。,main,composition,組成,easy,easy,False,material_entry,1,0,False,False,,True,True
q_expert_007,空間群Pm-3mの化合物を一覧にして。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_expert_008,OQMDのエントリ数を教えて。,main,composition,組成,easy,easy,False,material_entry,1,0,True,False,aggregation,True,True
q_expert_009,化学系（chemical_system）にTiを含む化合物のformulaを表示して。,main,composition,組成,easy,easy,False,material_entry,1,0,False,False,,True,True
q_expert_010,BiF3型構造の化合物を全て出して。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_expert_011,Ptを25%以上含むL12型化合物を表示して。,main,structure,構造,medium,medium,False,composition;material_entry;structure,3,2,False,False,,True,True
q_expert_012,RhとAlの両方を含む化合物を教えて。まずは構造のリストが欲しい。,main,structure,構造,medium,medium,False,composition;material_entry;structure,3,3,False,False,,True,True
q_expert_013,希土類元素を含むL12型化合物はあるか。,main,structure,構造,hard,hard,False,composition;material_entry;structure,3,2,False,False,,True,True
q_expert_014,遷移金属（このデータベースの element.category = 'transition_metal'。Sc–Zn・Y–Cd・Hf–Hg、Zn/Cd/Hg を含む）のみで構成されるL12型化合物を抽出して。,main,structure,構造,hard,hard,False,composition;element;material_entry;structure,4,2,False,True,subquery,True,True
q_expert_015,Cuの原子分率が0.75であるL12型化合物を出して。,main,structure,構造,medium,medium,False,composition;material_entry;structure,3,2,False,False,,True,True
q_expert_016,4d遷移金属をBサイトに持つL12型化合物を表示して。,main,structure,構造,hard,hard,False,composition;element;material_entry;structure,4,3,False,False,,True,True
q_expert_017,データベース中に登場する元素を全て一覧にして。,main,composition,組成,easy,easy,False,composition,1,0,False,False,distinct,True,True
q_expert_018,Mnを含む化合物はどのプロトタイプに多いか。,main,structure,構造,medium,medium,False,composition;material_entry;structure,3,2,True,False,aggregation;group_by;distinct,True,True
q_expert_019,原子番号が40以上の元素を含むL12型化合物を教えて。,main,structure,構造,hard,hard,False,composition;element;material_entry;prototype_definition;structure,5,4,False,False,,True,True
q_expert_020,VとAlの両方を含む安定な化合物を出して。,main,stability,安定性,medium,medium,False,composition;material_entry;phase_stability,3,3,False,False,,True,True
q_expert_021,格子定数aが3.50〜3.60Åの範囲にあるL12型化合物をリストして。,main,structure,構造,medium,medium,False,material_entry;structure,2,1,False,False,,True,True
q_expert_022,B2構造でcubic以外の結晶系を持つものはあるか。,main,structure,構造,medium,medium,False,material_entry;structure,2,1,False,False,,True,True
q_expert_023,体積が最小のL12化合物はどれか。,main,structure,構造,medium,medium,False,material_entry;structure,2,1,False,False,,True,True
q_expert_024,格子定数aとcの差が0.01Åを超える化合物を表示して。（正方晶歪み）,main,structure,構造,medium,medium,False,material_entry;structure,2,1,False,False,,True,True
q_expert_025,Strukturbericht記号がL12の化合物をprototypeと共に表示して。,main,structure,構造,easy,easy,False,material_entry;structure,2,1,False,False,,True,True
q_expert_026,空間群番号225の化合物は何件か。,main,structure,構造,easy,easy,False,structure,1,0,True,False,aggregation;distinct,True,True
q_expert_027,NiAs型構造でヘキサゴナルの結晶系のもののうち、格子定数cが最大のもの,main,structure,構造,medium,medium,False,material_entry;structure,2,1,False,False,,True,True
q_expert_028,格子定数aが4.0Å以上のB2化合物を表示して。,main,structure,構造,medium,medium,False,material_entry;structure,2,1,False,False,,True,True
q_expert_029,L12型化合物の格子定数aの平均値と標準偏差を教えて。,main,structure,構造,medium,medium,False,structure,1,0,True,False,aggregation,True,True
q_expert_030,全プロトタイプについて、それぞれの登録件数を教えて。,main,structure,構造,easy,easy,False,structure,1,0,True,False,aggregation;group_by,True,True
q_expert_031,convex_hullを構成するL12化合物（完全安定）を全て出して。,main,multistep,多段計算,medium,medium,False,formation_enthalpy,1,0,False,False,,True,True
q_expert_032,形成エネルギーが正の化合物はあるか。あればリストして。,main,stability,安定性,medium,medium,False,material_entry;phase_stability,2,1,False,False,,True,True
q_expert_033,B2構造で安定な化合物のうち、形成エネルギーが負のものを表示して。,main,multistep,多段計算,medium,medium,False,formation_enthalpy,1,0,False,False,,True,True
q_expert_034,準安定（0.001 < energy_above_hull ≤ 0.05 eV/atom）なL12化合物,main,stability,安定性,medium,medium,False,material_entry;phase_stability;structure,3,2,False,False,,True,True
q_expert_035,NaCl型構造でstableではない（is_stable = false、すなわちenergy_above_hull > 0.001 eV/atom）化合物の割合を、総数と該当件数とともに教えて。,main,stability,安定性,hard,hard,False,material_entry;phase_stability;structure,3,2,True,False,aggregation;case,True,True
q_expert_036,バンドギャップが0より大きいL12型化合物（半導体的なもの）はあるか。,main,stability,安定性,medium,medium,False,material_entry;phase_stability;structure,3,2,False,False,,True,True
q_expert_037,安定なL12化合物のうち、バンドギャップが0のもの（金属的なもの）,main,stability,安定性,medium,medium,False,material_entry;phase_stability;structure,3,2,False,False,,True,True
q_expert_038,Ni-Al系の化合物を抽出してconvex_hullからの距離を全て表示して。,main,stability,安定性,medium,medium,False,material_entry;phase_stability,2,1,False,False,,True,True
q_expert_039,形成エネルギーが-0.5 eV/atom以下の化合物を表示して,main,stability,安定性,medium,medium,False,material_entry;phase_stability,2,1,False,False,,True,True
q_expert_040,プロトタイプ別の平均energy_above_hullを件数とともに比較して。,main,stability,安定性,medium,medium,False,phase_stability;structure,2,1,True,False,aggregation;group_by,True,True
q_expert_041,GGA-PBE以外の汎関数で計算されたエントリはあるか。,main,composition,組成,easy,easy,False,calculation;material_entry,2,1,False,False,,True,True
q_expert_042,バルクモジュラスが200GPa以上のL12化合物を出して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,calculation;elastic_tensor;material_entry;structure,4,3,False,False,,True,True
q_expert_043,せん断弾性率が最も高いL12化合物TOP3を教えて。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,calculation;elastic_tensor;material_entry;structure,4,3,False,False,,True,True
q_expert_044,ヤング率が記録されている化合物を全て表示して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,medium,medium,False,calculation;elastic_tensor;material_entry,3,2,False,False,,True,True
q_expert_045,ポアソン比が0.3以上の化合物をリストして。,main,electronic_magnetic_thermal,電子構造・磁気・熱,medium,medium,False,calculation;elastic_tensor;material_entry,3,2,False,False,,True,True
q_expert_046,バルクモジュラスとせん断弾性率の比（B/G比）が2以上のL12化合物,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;elastic_tensor;material_entry;structure,4,3,False,False,,True,True
q_expert_047,DFT計算で弾性的に不安定（elastic tensor is_stable=false）とされる化合物はあるか。,main,electronic_magnetic_thermal,電子構造・磁気・熱,medium,medium,False,calculation;elastic_tensor;material_entry,3,2,False,False,,True,True
q_expert_048,格子定数にc/aが大きいものを探してほしい。,main,structure,構造,medium,medium,False,material_entry;structure,2,1,False,False,,True,True
q_expert_049,Ni3Alのバルクモジュラスと形成エネルギーを教えて。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,calculation;elastic_tensor;material_entry;phase_stability,4,3,False,False,,True,True
q_expert_050,磁気モーメントが0でないL12化合物を全て出して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,magnetic_property;material_entry;structure,3,2,False,False,,True,True
q_expert_051,フェルミ面でのDOSが最も高いL12化合物は。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,calculation;density_of_states;material_entry;structure,4,3,False,False,,True,True
q_expert_052,直接バンドギャップを持つ化合物はあるか。,main,electronic_magnetic_thermal,電子構造・磁気・熱,medium,medium,False,band_structure;calculation;material_entry,3,2,False,False,,True,True
q_expert_053,スピン偏極計算がされている化合物を表示して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,medium,medium,False,calculation;density_of_states;material_entry,3,2,False,False,,True,True
q_expert_054,強磁性（magnetic_ordering = 'ferromagnetic'）のL12化合物を出して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,magnetic_property;material_entry;structure,3,2,False,False,,True,True
q_expert_055,キュリー温度が最も高い化合物はどれか。,main,electronic_magnetic_thermal,電子構造・磁気・熱,medium,medium,False,magnetic_property;material_entry,2,1,False,False,,True,True
q_expert_056,デバイ温度が500K以上の化合物を教えて。,main,electronic_magnetic_thermal,電子構造・磁気・熱,medium,medium,False,calculation;material_entry;thermal_property,3,2,False,False,,True,True
q_expert_057,熱伝導率が記録されているL12化合物を表示して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,calculation;material_entry;structure;thermal_property,4,3,False,False,,True,True
q_expert_058,グリュナイゼン定数が2以上の化合物はあるか。,main,electronic_magnetic_thermal,電子構造・磁気・熱,medium,medium,False,calculation;material_entry;thermal_property,3,2,False,False,,True,True
q_expert_059,磁気異方性エネルギーが最も大きいL12化合物を出して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,magnetic_property;material_entry;structure,3,2,False,False,,True,True
q_expert_060,金属的（is_metallic=true）かつ強磁性のL12化合物を探して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;density_of_states;magnetic_property;material_entry;structure,5,4,False,False,,True,True
q_expert_061,(111)面の表面エネルギーが最も低いL12化合物を教えて。,main,surface_gb_defect,表面・粒界・欠陥,hard,hard,False,material_entry;structure;surface_energy,3,2,False,False,,True,True
q_expert_062,仕事関数が5 eV以上のL12化合物を出して。,main,surface_gb_defect,表面・粒界・欠陥,hard,hard,False,material_entry;structure;surface_energy,3,2,False,False,,True,True
q_expert_063,表面再構成が起こる化合物はあるか。,main,surface_gb_defect,表面・粒界・欠陥,medium,medium,False,material_entry;surface_energy,2,1,False,False,,True,True
q_expert_064,Σ5粒界エネルギーが記録されている化合物を表示して。,main,surface_gb_defect,表面・粒界・欠陥,medium,medium,False,grain_boundary;material_entry,2,1,False,False,,True,True
q_expert_065,空孔形成エネルギーが最も低いL12化合物は。,main,surface_gb_defect,表面・粒界・欠陥,hard,hard,False,defect_type;material_defect;material_entry;structure,4,3,False,False,,True,True
q_expert_066,アンチサイト欠陥の情報があるL12化合物を教えて。,main,surface_gb_defect,表面・粒界・欠陥,hard,hard,False,defect_type;material_defect;material_entry;structure,4,3,False,False,,True,True
q_expert_067,ドーパント元素としてBが使われている化合物はあるか。,main,surface_gb_defect,表面・粒界・欠陥,hard,hard,False,element;material_defect;material_entry,3,2,False,False,,True,True
q_expert_068,格子間原子（interstitial）欠陥の情報がある化合物を表示して。,main,surface_gb_defect,表面・粒界・欠陥,medium,medium,False,defect_type;material_defect;material_entry,3,2,False,False,,True,True
q_expert_069,(100)面と(110)面の表面エネルギーを両方持つ化合物を出して。,main,surface_gb_defect,表面・粒界・欠陥,very_hard,very_hard,False,material_entry;surface_energy,2,2,False,False,,True,True
q_expert_070,Vegard則からの乖離が大きいL12、B2化合物の情報がしりたい。,main,structure,構造,very_hard,very_hard,False,material_entry;structure,2,1,False,False,,True,True
q_expert_071,実験で合成されたことのあるL12化合物はどれか。,main,literature_application,文献・応用,hard,hard,False,material_entry;material_synthesis;structure,3,2,False,False,,True,True
q_expert_072,アーク溶解法で合成されたL12化合物を表示して。,main,literature_application,文献・応用,hard,hard,False,material_entry;material_synthesis;structure;synthesis_method,4,3,False,False,,True,True
q_expert_073,1000K以上の温度で合成されたL12化合物を出して。,main,literature_application,文献・応用,hard,hard,False,material_entry;material_synthesis;structure,3,2,False,False,,True,True
q_expert_074,文献参照が3件以上あるL12化合物を教えて。,main,literature_application,文献・応用,very_hard,very_hard,False,material_entry;material_reference;structure,3,2,True,False,aggregation;group_by;having,True,True
q_expert_075,高温超合金の応用領域に分類されている化合物を全て表示して。,main,literature_application,文献・応用,hard,hard,False,application_domain;material_application;material_entry,3,2,False,False,,True,True
q_expert_076,2020年以降の文献で報告されたL12化合物を出して。,main,literature_application,文献・応用,very_hard,very_hard,False,literature_reference;material_entry;material_reference;structure,4,3,False,False,,True,True
q_expert_077,実験値と計算値の両方がある化合物を表示して。,main,literature_application,文献・応用,hard,hard,False,calculated_property;calculation;experimental_measurement;material_entry;measured_property,5,2,False,True,subquery,True,True
q_expert_078,ボールミリングで合成された化合物はあるか。,main,literature_application,文献・応用,hard,hard,False,material_entry;material_synthesis;synthesis_method,3,2,False,False,,True,True
q_expert_079,耐熱材料として分類されている化合物を表示して。,main,literature_application,文献・応用,hard,hard,False,application_domain;material_application;material_entry,3,2,False,False,,True,True
q_expert_080,DOIが記録されている文献の一覧を出して。,main,composition,組成,easy,easy,False,literature_reference,1,0,False,False,,True,True
q_expert_081,Ni3Alと格子定数が0.05Å以内で、かつ安定で、バルクモジュラスが150GPa以上の化合物を探して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;elastic_tensor;material_entry;phase_stability;structure,5,4,False,False,,True,True
q_expert_082,γ'相候補として有望な、安定または準安定（energy_above_hull ≤ 0.05 eV/atom）なL12化合物を形成エネルギー順にランキングして。,main,stability,安定性,hard,hard,False,material_entry;phase_stability;structure,3,2,False,False,,True,True
q_expert_083,Coを含む安定なL12化合物で、バルクモジュラスが180GPa以上かつデバイ温度400K以上のものを出して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;composition;elastic_tensor;material_entry;phase_stability;structure;thermal_property,7,7,False,False,,True,True
q_expert_084,格子定数が3.56Å±0.03Åで、せん断弾性率が70GPa以上で、安定なL12化合物を探して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;elastic_tensor;material_entry;phase_stability;structure,5,4,False,False,,True,True
q_expert_085,強磁性かつ弾性的に安定なL12化合物を全て表示して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;elastic_tensor;magnetic_property;material_entry;structure,5,4,False,False,,True,True
q_expert_086,実験合成実績があり、かつDFT計算でも安定と判定されているL12化合物を出して。,main,literature_application,文献・応用,very_hard,very_hard,False,material_entry;material_synthesis;phase_stability;structure,4,3,False,False,,True,True
q_expert_087,Ni3Alよりバルクモジュラスが高く、かつコンベックスハルからの距離が0.01以下の化合物を抽出して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;elastic_tensor;material_entry;phase_stability,4,5,False,True,subquery,True,True
q_expert_088,元素数が2の安定な化合物を、プロトタイプ別に件数を集計して。,main,stability,安定性,hard,hard,False,material_entry;phase_stability;structure,3,2,True,False,aggregation;group_by,True,True
q_expert_089,L12構造のうち、ポアソン比が低く（<0.25）延性が低いと予想される化合物を出して。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,calculation;elastic_tensor;material_entry;structure,4,3,False,False,,True,True
q_expert_090,表面エネルギーが低い（<1.5 J/m²）かつ安定なL12化合物を全て表示して。,main,surface_gb_defect,表面・粒界・欠陥,very_hard,very_hard,False,material_entry;phase_stability;structure;surface_energy,4,3,False,False,,True,True
q_expert_091,L12とB2で、化合物総数・安定件数・安定な化合物の割合を比較して。,main,stability,安定性,hard,hard,False,phase_stability;structure,2,1,True,False,aggregation;group_by;case,True,True
q_expert_092,プロトタイプ別の平均バルクモジュラスを件数とともに教えて。,main,electronic_magnetic_thermal,電子構造・磁気・熱,hard,hard,False,calculation;elastic_tensor;structure,3,2,True,False,aggregation;group_by,True,True
q_expert_093,Aサイト元素ごとのL12化合物数を集計して。どの元素が最多か。,main,structure,構造,hard,hard,False,composition;material_entry;structure,3,2,True,False,aggregation;group_by;distinct,True,True
q_expert_094,格子定数と形成エネルギーに相関はあるか？全L12化合物のデータを出して。,main,stability,安定性,medium,medium,False,material_entry;phase_stability;structure,3,2,False,False,,True,True
q_expert_095,安定・準安定・不安定の各クラスのL12化合物で、平均バルクモジュラスに差はあるか。,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;elastic_tensor;phase_stability;structure,4,3,True,False,aggregation;group_by;case,True,True
q_expert_096,化学系（chemical_system）ごとのエントリ数TOP10を教えて。,main,composition,組成,easy,easy,False,material_entry,1,0,True,False,aggregation;group_by,True,True
q_expert_097,DFT計算手法（method）ごとのエントリ数を出して。,main,composition,組成,easy,easy,False,calculation,1,0,True,False,aggregation;group_by,True,True
q_expert_098,L12型化合物のバンドギャップの分布を教えて。0のものとそうでないものを分けて、各カテゴリの件数と平均バンドギャップが欲しい。,main,stability,安定性,hard,hard,False,phase_stability;structure,2,1,True,False,aggregation;group_by;case,True,True
q_expert_099,格子定数aの分布を0.1Å刻みでヒストグラム的に表示するデータが欲しい。,main,structure,構造,hard,hard,False,structure,1,0,True,False,aggregation;group_by,True,True
q_expert_100,全プロトタイプについて、安定/不安定/準安定の件数内訳を教えて。,main,stability,安定性,hard,hard,False,phase_stability;structure,2,1,True,False,aggregation;group_by;case,True,True
q_expert_101,安定なL1₂化合物のうち、バルクモジュラスが180GPa以上で格子定数が3.9Å以下のものを化学式・格子定数・バルクモジュラス・形成エネルギーとともに一覧して,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculated_property;calculation;material_entry;phase_stability;property_definition;structure,6,5,False,False,,True,True
q_expert_102,Niを含むL1₂化合物で、バルクモジュラスが150GPa以上かつデバイ温度が400K以上の安定な化合物を教えて,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculated_property;calculation;composition;material_entry;phase_stability;structure;thermal_property,7,7,False,False,,True,True
q_expert_103,L1₂型化合物をA-site元素とB-site元素で分類し、各組合せの平均バルクモジュラス・化合物総数・安定相の数を集計して,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculated_property;calculation;composition;material_entry;phase_stability;structure,6,6,True,False,aggregation;group_by;case,True,True
q_expert_104,文献参照があるL1₂化合物のうち、バルクモジュラスが最も高い上位10化合物を文献数とともに出して,main,literature_application,文献・応用,very_hard,very_hard,False,calculated_property;calculation;material_entry;material_reference;structure,5,4,True,False,aggregation;group_by;having;distinct,True,True
q_expert_105,安定なL1₂化合物で表面エネルギーが2.0 J/m²以下かつバルクモジュラスが180GPa以上のものを全て出して,main,surface_gb_defect,表面・粒界・欠陥,very_hard,very_hard,False,calculated_property;calculation;material_entry;phase_stability;structure;surface_energy,6,5,False,False,,True,True
q_expert_106,磁性を持つ安定なL1₂化合物について、磁化とバルクモジュラスの関係を化学式とともに出して,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculated_property;calculation;magnetic_property;material_entry;phase_stability;structure,6,5,False,False,,True,True
q_expert_107,NiとAlを両方含むL1₂化合物で、Ni3Alの格子定数(3.57Å)との差が0.1Å以内かつバルクモジュラスが100GPa以上のものを出して,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculated_property;calculation;composition;material_entry;structure,5,5,False,False,,True,True
q_expert_108,点欠陥の情報があるL1₂化合物で安定かつバルクモジュラスが150GPa以上のものを欠陥タイプとともに出して,main,surface_gb_defect,表面・粒界・欠陥,very_hard,very_hard,False,calculated_property;calculation;defect_type;material_defect;material_entry;phase_stability;structure,7,6,False,False,,True,True
q_expert_109,Ni基合金系に属するL1₂化合物で、安定かつバルクモジュラスが最も高いものを合金系名とともにトップ10出して,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,alloy_system;calculated_property;calculation;material_alloy_system;material_entry;phase_stability;structure,7,6,False,False,,True,True
q_expert_110,安定なL1₂化合物でバルクモジュラスとせん断弾性率の比(B/G比)が2.0以上かつ格子定数が4.0Å以下のものをランキングして,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculated_property;calculation;material_entry;phase_stability;structure,5,5,False,False,,True,True
q_expert_111,安定なL1₂化合物の弾性テンソルのVRHバルクモジュラスが200GPa以上かつ格子定数が3.5-4.0Åの範囲にあるものを出して,main,electronic_magnetic_thermal,電子構造・磁気・熱,very_hard,very_hard,False,calculation;elastic_tensor;material_entry;phase_stability;structure,5,4,False,False,,True,True
q_expert_112,実験的に合成されたL1₂化合物のうち安定でバルクモジュラスが150GPa以上のものを合成方法・温度とともに出して,main,literature_application,文献・応用,very_hard,very_hard,False,calculated_property;calculation;material_entry;material_synthesis;phase_stability;structure;synthesis_method,7,6,False,False,,True,True
q_expert_113,融点が2000K以上の元素を、その元素を含む安定化合物の件数とともに一覧して,main,stability,安定性,very_hard,very_hard,False,composition;element;element_property;material_entry;phase_stability,5,4,True,False,aggregation;group_by;distinct,True,True
q_expert_114,相図上でハル上にある(is_on_hull)エントリを化学系・化学式・ハル距離とともに一覧して,main,stability,安定性,very_hard,very_hard,False,material_entry;phase_diagram_entry,2,1,False,False,,True,True
q_expert_115,各材料ソース(source_db)が宣言を許可されているエネルギー規約(reference_set)と、その規約のmethod・functional・sourceを一覧して,main,composition,組成,very_hard,very_hard,False,fixture_source_reference_set;reference_energy_set,2,1,False,False,,True,True
q_hard_001,Ni基超合金のγ'相候補として有望な、安定または準安定なL1₂型化合物を抽出して。,main,stability,安定性,hard,hard,False,material_entry;phase_stability;structure,3,2,False,False,,True,True
q_hard_002,L1₂型化合物において、Aサイト元素とBサイト元素の組み合わせが形成エネルギーに与える傾向を調べて。,main,stability,安定性,hard,hard,False,composition;material_entry;phase_stability;structure,4,4,True,False,aggregation;group_by,True,True
